Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength
42.0,4.0,4.0,227.0,7.0,2.0,-11.0,-0.0494160799128072,0.0543953181801293
31.0,4.0,4.0,181.0,7.0,1.0,-11.0,-0.0494160799128072,0.0543953181801293
52.0,5.0,2.0,348.0,7.0,2.0,0.0,-0.0494160799128072,0.0543953181801293
78.0,1.0,13.0,3488.0,,3.0,0.0,-0.0494160799128072,0.0995849772483576
30.0,1.0,14.0,3214.0,,3.0,0.0,-0.0494160799128072,0.0995849772483576
67.0,1.0,18.0,2758.0,,3.0,0.0,-0.0494160799128072,0.0995849772483576
39.0,2.0,7.0,2401.0,,3.0,-3.0,-0.0494160799128072,0.0995849772483576
66.0,2.0,1.0,2264.0,,3.0,0.0,-0.0494160799128072,0.0995849772483576
85.0,3.0,19.0,1468.0,,3.0,-6.0,-0.0494160799128072,0.0995849772483576
29.0,3.0,5.0,1082.0,,3.0,-12.0,-0.0494160799128072,0.0995849772483576
88.0,4.0,19.0,861.0,,3.0,-9.0,-0.0494160799128072,0.0995849772483576
56.0,4.0,11.0,596.0,,3.0,-12.0,-0.0494160799128072,0.0995849772483576
13.0,4.0,11.0,3.0,,0.0,-15.0,-0.0494160799128072,0.0995849772483576
63.0,1.0,5.0,3316.0,9.0,3.0,0.0,-0.0494160799128072,-0.0205825399781266
63.0,1.0,1.0,3033.0,9.0,2.0,7.0,-0.0494160799128072,-0.0205825399781266
37.0,2.0,9.0,2601.0,9.0,2.0,7.0,-0.0494160799128072,-0.0205825399781266
30.0,2.0,5.0,2287.0,9.0,2.0,10.0,-0.0494160799128072,-0.0205825399781266
69.0,2.0,8.0,1834.0,9.0,1.0,20.0,-0.0494160799128072,-0.0205825399781266
52.0,3.0,9.0,1643.0,9.0,3.0,20.0,-0.0494160799128072,-0.0205825399781266
28.0,3.0,2.0,1363.0,9.0,2.0,20.0,-0.0494160799128072,-0.0205825399781266
57.0,3.0,2.0,1113.0,9.0,2.0,20.0,-0.0494160799128072,-0.0205825399781266
62.0,3.0,7.0,1099.0,9.0,2.0,20.0,-0.0494160799128072,-0.0205825399781266
57.0,3.0,2.0,1088.0,9.0,2.0,20.0,-0.0494160799128072,-0.0205825399781266
43.0,1.0,7.0,3193.0,10.0,3.0,-3.0,-0.0494160799128072,0.0139955713233515
12.0,1.0,9.0,3063.0,10.0,3.0,-3.0,-0.0494160799128072,0.0139955713233515
35.0,2.0,2.0,2465.0,10.0,2.0,-7.0,-0.0494160799128072,0.0139955713233515
31.0,2.0,8.0,2401.0,10.0,2.0,-7.0,-0.0494160799128072,0.0139955713233515
87.0,2.0,3.0,2146.0,10.0,2.0,-4.0,-0.0494160799128072,0.0139955713233515
91.0,2.0,7.0,2137.0,10.0,2.0,-4.0,-0.0494160799128072,0.0139955713233515
60.0,2.0,15.0,1860.0,10.0,2.0,-10.0,-0.0494160799128072,0.0139955713233515
92.0,3.0,18.0,1604.0,10.0,3.0,-10.0,-0.0494160799128072,0.0139955713233515
57.0,3.0,4.0,1339.0,10.0,3.0,-10.0,-0.0494160799128072,0.0139955713233515
62.0,3.0,9.0,1329.0,10.0,3.0,-10.0,-0.0494160799128072,0.0139955713233515
17.0,4.0,1.0,900.0,10.0,1.0,-10.0,-0.0494160799128072,0.0139955713233515
40.0,4.0,3.0,136.0,10.0,1.0,-10.0,-0.0494160799128072,0.0139955713233515
41.0,1.0,1.0,3280.0,14.0,3.0,0.0,-0.0494160799128072,-0.0399816607880349
55.0,1.0,29.0,3127.0,14.0,3.0,0.0,-0.0494160799128072,-0.0399816607880349
14.0,2.0,5.0,2700.0,14.0,3.0,0.0,-0.0494160799128072,-0.0399816607880349
48.0,2.0,15.0,2395.0,14.0,2.0,3.0,-0.0494160799128072,-0.0399816607880349
21.0,2.0,1.0,1803.0,14.0,0.0,3.0,-0.0494160799128072,-0.0399816607880349
52.0,3.0,11.0,1396.0,14.0,2.0,13.0,-0.0494160799128072,-0.0399816607880349
84.0,3.0,5.0,1094.0,14.0,2.0,13.0,-0.0494160799128072,-0.0399816607880349
49.0,4.0,5.0,825.0,14.0,2.0,13.0,-0.0494160799128072,-0.0399816607880349
49.0,4.0,3.0,470.0,14.0,2.0,13.0,-0.0494160799128072,-0.0399816607880349
5.0,4.0,2.0,290.0,14.0,2.0,13.0,-0.0494160799128072,-0.0399816607880349
36.0,4.0,16.0,154.0,14.0,2.0,16.0,-0.0494160799128072,-0.0399816607880349
62.0,1.0,2.0,3562.0,1.0,3.0,0.0,-0.0494160799128072,-0.0279916586737624
44.0,1.0,12.0,3012.0,1.0,3.0,-7.0,-0.0494160799128072,-0.0279916586737624
77.0,1.0,18.0,2755.0,1.0,3.0,-7.0,-0.0494160799128072,-0.0279916586737624
41.0,2.0,6.0,2546.0,1.0,3.0,-7.0,-0.0494160799128072,-0.0279916586737624
37.0,2.0,1.0,2259.0,1.0,3.0,0.0,-0.0494160799128072,-0.0279916586737624
35.0,2.0,10.0,1812.0,1.0,0.0,4.0,-0.0494160799128072,-0.0279916586737624
64.0,3.0,5.0,1562.0,1.0,3.0,7.0,-0.0494160799128072,-0.0279916586737624
67.0,3.0,2.0,1078.0,1.0,3.0,4.0,-0.0494160799128072,-0.0279916586737624
13.0,4.0,7.0,659.0,1.0,3.0,4.0,-0.0494160799128072,-0.0279916586737624
75.0,4.0,10.0,404.0,1.0,2.0,4.0,-0.0494160799128072,-0.0279916586737624
