Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength,WP_go,WP_fg,WP_punt
59.0,3.0,6.0,1486.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073,0.926949720044197,0.9063371274516043,0.8549323261737981
81.0,3.0,15.0,1294.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073,0.8797582281253009,0.9097582281253009,0.8510773890872317
24.0,3.0,2.0,1195.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073,0.9290520727404724,0.9072539245923242,0.8640121554796196
71.0,3.0,17.0,902.0,15.0,3.0,13.0,-0.0579264296982367,-0.0017807959942073,0.9532879766586912,0.9282953840660987,0.9335725284319221
55.0,4.0,1.0,420.0,15.0,3.0,14.0,-0.0579264296982367,-0.0017807959942073,0.9653288794851175,0.9314552380656484,0.958971003986865
80.0,4.0,15.0,134.0,15.0,3.0,14.0,-0.0579264296982367,-0.0017807959942073,0.9794654971131921,0.9532330897057847,0.9720713379433091
69.0,1.0,6.0,3447.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722,0.5017777549325568,0.5307726487873702,0.5317777549325569
46.0,1.0,13.0,3127.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722,0.4980900406744701,0.4730997047389748,0.5073077310844166
7.0,2.0,4.0,2433.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722,0.596378732879745,0.589183473432249,0.5355536363488993
64.0,2.0,19.0,2017.0,3.0,3.0,-4.0,-0.0579264296982367,-0.1254975692627722,0.2538032752517474,0.30596932383808895,0.3334281201343853
